Team,of_yds_per_g,df_yds_per_g,of_pts_per_g,df_pts_per_g,wins
Atlanta Falcons,253.9,276.9,15,18.1,10
Baltimore Colts,256.7,369.4,14.9,26.3,6
Buffalo Bills,289.4,324.2,18.9,22.1,6
Chicago Bears,278.7,292.5,15.8,17.1,8
Cincinnati Bengals,304.5,289.5,15.8,17.8,5
Cleveland Browns,334.2,334.5,20.9,22.2,9
Dallas Cowboys,372.4,250.6,24,13,13
Denver Broncos,301.8,278.1,17.6,12.4,11
Detroit Lions,279.1,280.2,18.1,18.8,8
Green Bay Packers,256.7,310.2,15.6,16.8,9
Houston Oilers,300.9,307.1,17.7,18.6,11
Kansas City Chiefs,301.2,310.4,15.2,20.4,5
Los Angeles Rams,323.9,243.3,19.8,15.3,13
Miami Dolphins,302.2,323.1,23.2,15.9,12
Minnesota Vikings,298.7,300.4,18.4,19.1,9
New England Patriots,372.8,288.4,22.4,17.9,12
New Orleans Saints,312.2,305.2,17.6,18.6,8
New York Giants,278.1,315.1,16.5,18.6,7
New York Jets,303.6,345.2,22.4,22.8,9
Oakland Raiders,307.1,305.9,19.4,17.7,10
Philadelphia Eagles,290.8,289.7,16.9,15.6,10
Pittsburgh Steelers,312.2,260.5,22.2,12.2,15
San Diego Chargers,341.9,284.9,22.2,19.3,10
San Francisco 49ers,252.9,314,13.7,21.9,3
Seattle Seahawks,344.4,344.9,21.6,22.4,10
St. Louis Cardinals,320.3,296.7,15.5,18.5,7
Tampa Bay Buccaneers,237.6,270.5,15.1,16.2,6
Washington Redskins,290.4,307.1,17.1,17.7,9
